ID,Evasión,Género,Pareja,Dependientes,Meses_contrato,Teléfono,Internet,Seguridad_online,Soporte_técnico_adicional,Televisión,Películas,Tipo_contrato,Factura_online,Forma_pago,Facturación_mensual,Facturación_anual,Cuentas_Diarias
0023-HGHWL,Sí,Masculino,No,No,1.0,No,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,25.1,25.1,0.84
0023-UYUPN,No,Femenino,Sí,No,50.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,25.2,1306.3,0.84
0023-XUOPT,Sí,Femenino,Sí,No,13.0,Sí,Sí,No,No,Sí,No,Month-to-month,No,Electronic check,94.1,1215.6,3.14
0027-KWYKW,No,Femenino,Sí,Sí,23.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,83.75,1849.95,2.79
0030-FNXPP,No,Femenino,No,No,3.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,57.2,0.66
0031-PVLZI,Sí,Femenino,Sí,Sí,4.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.35,76.35,0.68
0032-PGELS,Sí,Femenino,Sí,Sí,1.0,No,Sí,Sí,No,No,No,Month-to-month,No,Bank transfer (automatic),30.5,30.5,1.02
0036-IHMOT,No,Femenino,Sí,Sí,55.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),103.7,5656.75,3.46
0040-HALCW,No,Masculino,Sí,Sí,54.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),20.4,1090.6,0.68
0042-JVWOJ,No,Masculino,No,No,26.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Bank transfer (automatic),19.6,471.85,0.65
0042-RLHYP,No,Femenino,Sí,Sí,69.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.7,1396.9,0.66
0048-LUMLS,No,Femenino,Sí,No,49.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.45,900.9,0.68
0048-PIHNL,No,Masculino,Sí,No,66.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Bank transfer (automatic),115.8,7942.15,3.86
0052-DCKON,No,Femenino,No,No,67.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,20.55,1343.4,0.68
0052-YNYOT,No,Masculino,Sí,Sí,20.0,No,Sí,Sí,Sí,No,No,Two year,Sí,Credit card (automatic),39.4,825.4,1.31
0056-EPFBG,No,Femenino,No,Sí,43.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Electronic check,25.1,1070.15,0.84
0057-QBUQH,No,Femenino,Sí,No,55.0,Sí,Sí,Sí,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),89.8,4959.6,2.99
0058-EVZWM,No,Femenino,Sí,No,59.0,Sí,Sí,Sí,No,Sí,No,Month-to-month,Sí,Electronic check,94.75,5597.65,3.16
0060-FUALY,No,Femenino,Sí,Sí,12.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.3,224.5,0.68
0064-SUDOG,No,Masculino,Sí,Sí,27.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),75.75,1929.0,2.52
0064-YIJGF,No,Masculino,No,No,2.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Electronic check,49.25,91.1,1.64
0067-DKWBL,Sí,Femenino,No,No,27.0,Sí,Sí,No,Sí,Sí,Sí,One year,No,Mailed check,78.2,2078.95,2.61
0068-FIGTF,No,Masculino,Sí,Sí,25.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),25.5,630.6,0.85
0071-NDAFP,No,Masculino,Sí,Sí,25.0,Sí,Sí,Sí,No,No,No,One year,Sí,Bank transfer (automatic),61.6,1611.0,2.05
0074-HDKDG,No,Masculino,No,Sí,29.0,No,Sí,Sí,Sí,No,No,Month-to-month,Sí,Mailed check,45.0,1242.45,1.5
0076-LVEPS,No,Masculino,Sí,No,72.0,Sí,Sí,No,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),85.15,6316.2,2.84
0078-XZMHT,No,Femenino,No,No,14.0,Sí,Sí,No,No,No,No,One year,No,Credit card (automatic),51.45,727.85,1.72
0080-EMYVY,No,Femenino,No,No,35.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Electronic check,99.25,3532.0,3.31
0080-OROZO,No,Masculino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,44.3,44.3,1.48
0082-LDZUE,No,Masculino,No,No,29.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,94.2,2607.6,3.14
0082-OQIQY,No,Masculino,No,No,64.0,Sí,Sí,Sí,Sí,Sí,No,One year,No,Electronic check,81.25,5567.55,2.71
0083-PIVIK,No,Femenino,Sí,Sí,39.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Credit card (automatic),99.95,3767.4,3.33
0089-IIQKO,No,Femenino,No,No,40.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,91.55,3673.6,3.05
0093-EXYQL,No,Masculino,No,No,40.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Credit card (automatic),104.5,4036.85,3.48
0093-XWZFY,Sí,Femenino,No,No,11.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,95.0,1120.3,3.17
0094-OIFMO,Sí,Femenino,Sí,No,6.0,Sí,Sí,No,No,No,No,Month-to-month,No,Electronic check,50.35,314.55,1.68
0096-BXERS,No,Masculino,No,No,30.0,Sí,Sí,Sí,No,No,Sí,Month-to-month,Sí,Mailed check,64.5,1888.45,2.15
0096-FCPUF,No,Masculino,No,No,27.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,19.4,529.8,0.65
0098-BOWSO,No,Masculino,Sí,No,70.0,Sí,Sí,No,No,Sí,Sí,One year,Sí,Electronic check,104.8,7308.95,3.49
0100-DUVFC,No,Femenino,Sí,No,57.0,Sí,Sí,No,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),109.4,6252.7,3.65
0103-CSITQ,No,Masculino,Sí,No,58.0,Sí,Sí,No,No,No,No,One year,No,Credit card (automatic),50.3,2878.55,1.68
0104-PPXDV,No,Masculino,No,No,16.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Bank transfer (automatic),71.4,1212.1,2.38
0106-GHRQR,No,Femenino,Sí,No,69.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,116.0,8182.85,3.87
0106-UGRDO,No,Masculino,No,No,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,19.85,19.85,0.66
0107-WESLM,Sí,Masculino,No,Sí,1.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,99.75,99.75,3.32
0107-YHINA,Sí,Masculino,Sí,Sí,32.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Mailed check,93.95,2861.45,3.13
0111-KLBQG,No,Masculino,Sí,Sí,16.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),90.8,1442.2,3.03
0112-QAWRZ,No,Masculino,Sí,No,49.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Electronic check,84.35,4059.35,2.81
0112-QWPNC,Sí,Femenino,Sí,No,71.0,No,Sí,No,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),58.25,4145.9,1.94
0114-IGABW,No,Femenino,No,No,33.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,No,Electronic check,107.55,3645.5,3.58
0114-PEGZZ,No,Femenino,Sí,No,10.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Bank transfer (automatic),19.95,187.75,0.66
0114-RSRRW,No,Masculino,Sí,No,21.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,111.2,2317.1,3.71
0115-TFERT,Sí,Masculino,Sí,Sí,37.0,No,Sí,Sí,No,No,No,Month-to-month,No,Bank transfer (automatic),40.2,1448.8,1.34
0117-LFRMW,Sí,Femenino,No,No,26.0,Sí,Sí,Sí,No,Sí,No,Month-to-month,Sí,Credit card (automatic),85.8,2193.65,2.86
0118-JPNOY,No,Masculino,No,No,50.0,No,Sí,Sí,Sí,No,No,One year,Sí,Mailed check,35.4,1748.9,1.18
0121-SNYRK,No,Femenino,Sí,Sí,61.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Mailed check,88.1,5526.75,2.94
0122-OAHPZ,Sí,Masculino,No,No,15.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,101.35,1553.95,3.38
0123-CRBRT,No,Femenino,No,Sí,26.0,No,Sí,Sí,Sí,No,Sí,Month-to-month,No,Mailed check,45.8,1147.0,1.53
0125-LZQXK,Sí,Masculino,Sí,No,72.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,94.65,6747.35,3.16
0128-MKWSG,No,Masculino,Sí,Sí,44.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Bank transfer (automatic),20.5,865.05,0.68
0129-KPTWJ,No,Masculino,No,No,66.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Credit card (automatic),89.4,5976.9,2.98
0129-QMPDR,No,Femenino,No,No,2.0,Sí,Sí,Sí,Sí,No,No,Month-to-month,Sí,Electronic check,86.25,181.65,2.88
0130-SXOUN,No,Femenino,No,No,44.0,Sí,Sí,No,Sí,Sí,Sí,One year,No,Bank transfer (automatic),74.85,3268.05,2.49
0133-BMFZO,Sí,Femenino,No,No,12.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Bank transfer (automatic),89.75,1052.4,2.99
0134-XWXCE,No,Masculino,Sí,No,69.0,Sí,Sí,No,Sí,Sí,Sí,Two year,Sí,Electronic check,109.95,7634.25,3.66
0135-NMXAP,Sí,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Mailed check,80.2,80.2,2.67
0136-IFMYD,No,Femenino,No,No,3.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.85,63.75,0.66
0137-OCGAB,Sí,Femenino,Sí,No,2.0,Sí,Sí,Sí,No,Sí,No,Month-to-month,No,Electronic check,90.35,190.5,3.01
0137-UDEUO,Sí,Femenino,No,No,27.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),86.45,2401.05,2.88
0139-IVFJG,No,Masculino,No,No,26.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Sí,Electronic check,20.3,511.25,0.68
0141-YEAYS,No,Femenino,Sí,No,39.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,101.25,3949.15,3.38
0142-GVYSN,No,Masculino,No,No,25.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),94.7,2362.1,3.16
0147-ESWWR,No,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,No,Mailed check,70.9,70.9,2.36
0148-DCDOS,Sí,Masculino,Sí,No,22.0,Sí,Sí,Sí,Sí,No,No,Month-to-month,Sí,Electronic check,54.2,1152.7,1.81
0151-ONTOV,Sí,Femenino,No,No,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,114.9,8496.7,3.83
0156-FVPTA,Sí,Femenino,Sí,No,19.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,86.85,1564.4,2.9
0164-APGRB,No,Masculino,Sí,No,33.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),109.9,3694.7,3.66
0164-XAIRP,No,Femenino,No,No,3.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.95,58.0,0.66
0168-XZKBB,No,Masculino,Sí,Sí,47.0,Sí,Sí,No,No,Sí,No,Month-to-month,No,Electronic check,87.2,4017.45,2.91
0174-QRVVY,No,Masculino,Sí,Sí,62.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Mailed check,108.15,6825.65,3.6
0177-PXBAT,No,Masculino,No,No,71.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Bank transfer (automatic),116.3,8309.55,3.88
0178-CIIKR,No,Masculino,Sí,No,7.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,89.0,605.45,2.97
0178-SZBHO,No,Femenino,Sí,Sí,27.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Mailed check,74.4,1972.35,2.48
0181-RITDD,No,Masculino,No,No,2.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,33.7,0.67
0186-CAERR,No,Femenino,No,Sí,25.0,No,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),35.05,844.45,1.17
0187-QSXOE,No,Masculino,No,No,30.0,Sí,Sí,Sí,No,Sí,Sí,Month-to-month,Sí,Electronic check,74.75,2111.3,2.49
0187-WZNAB,No,Femenino,Sí,No,58.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Credit card (automatic),105.5,6205.5,3.52
0188-GWFLE,No,Masculino,Sí,No,10.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,85.25,855.3,2.84
0191-EQUUH,No,Femenino,No,No,9.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Credit card (automatic),75.2,633.85,2.51
0191-ZHSKZ,No,Femenino,Sí,No,6.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,84.35,474.9,2.81
0193-ESZXP,Sí,Femenino,Sí,Sí,69.0,Sí,Sí,Sí,No,No,No,One year,No,Bank transfer (automatic),84.45,5848.6,2.82
0195-IESCP,Sí,Femenino,No,No,66.0,Sí,Sí,Sí,No,Sí,Sí,Two year,Sí,Bank transfer (automatic),102.4,6471.85,3.41
0196-JTUQI,No,Femenino,No,No,70.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,No,Credit card (automatic),115.55,8127.6,3.85
0196-VULGZ,Sí,Masculino,No,No,25.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),25.3,676.35,0.84
0197-PNKNK,No,Femenino,Sí,Sí,46.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,Sí,Mailed check,19.25,864.2,0.64
0201-MIBOL,No,Femenino,Sí,No,54.0,Sí,Sí,Sí,Sí,Sí,Sí,One year,Sí,Mailed check,114.65,6049.5,3.82
0201-OAMXR,Sí,Femenino,No,No,15.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,No,Electronic check,105.1,1582.75,3.5
0203-HHYIJ,Sí,Femenino,Sí,Sí,12.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),19.4,198.1,0.65
0206-OYVOC,No,Femenino,No,No,22.0,No,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,50.35,1098.85,1.68
0206-TBWLC,No,Femenino,Sí,No,70.0,No,Sí,No,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),57.8,4039.3,1.93
0207-MDKNV,Sí,Masculino,No,No,30.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Credit card (automatic),84.3,2438.6,2.81
0208-BPQEJ,No,Masculino,Sí,Sí,71.0,Sí,Sí,No,No,Sí,Sí,One year,No,Bank transfer (automatic),100.55,7113.75,3.35
0212-ISBBF,No,Masculino,Sí,No,30.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.8,576.65,0.66
0214-JHPFW,No,Masculino,Sí,Sí,4.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Bank transfer (automatic),84.8,371.9,2.83
0215-BQKGS,No,Masculino,No,No,2.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,85.85,167.3,2.86
0218-QNVAS,No,Masculino,No,Sí,10.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,Sí,Bank transfer (automatic),19.95,219.5,0.66
0219-QAERP,No,Masculino,No,No,4.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Electronic check,75.35,273.4,2.51
0219-YTZUE,Sí,Masculino,No,No,52.0,No,Sí,Sí,No,Sí,Sí,Month-to-month,Sí,Credit card (automatic),48.8,2555.05,1.63
0220-EBGCE,Sí,Masculino,No,No,5.0,Sí,Sí,No,No,No,No,Month-to-month,No,Electronic check,47.15,223.15,1.57
0221-NAUXK,No,Masculino,Sí,Sí,8.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.15,165.5,0.67
0221-WMXNQ,No,Femenino,No,No,2.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,44.3,89.3,1.48
0222-CNVPT,No,Masculino,No,No,3.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,84.3,235.05,2.81
0224-HJAPT,Sí,Masculino,No,No,19.0,Sí,Sí,No,Sí,No,No,Month-to-month,No,Electronic check,59.55,1144.6,1.98
0224-NIJLP,No,Masculino,No,No,72.0,Sí,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),69.65,4908.25,2.32
0224-RLWWD,No,Masculino,Sí,No,63.0,No,Sí,Sí,Sí,No,No,One year,No,Bank transfer (automatic),36.1,2298.9,1.2
0225-ZORZP,No,Masculino,Sí,No,66.0,No,Sí,Sí,Sí,Sí,No,Two year,Sí,Bank transfer (automatic),56.6,3789.2,1.89
0228-MAUWC,No,Masculino,No,No,1.0,Sí,Sí,No,Sí,No,No,Month-to-month,Sí,Electronic check,75.9,75.9,2.53
0229-LFJAF,No,Femenino,No,No,60.0,Sí,Sí,No,No,No,No,One year,Sí,Bank transfer (automatic),79.2,4765.0,2.64
0230-UBYPQ,No,Femenino,Sí,Sí,48.0,No,Sí,Sí,No,No,Sí,One year,No,Credit card (automatic),45.0,2196.3,1.5
0230-WEQUW,No,Femenino,No,No,1.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Credit card (automatic),85.55,85.55,2.85
0231-LXVAP,Sí,Masculino,No,No,15.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,93.35,1444.65,3.11
0233-FTHAV,No,Femenino,Sí,No,50.0,Sí,Sí,Sí,Sí,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),109.65,5405.8,3.66
0234-TEVTT,No,Masculino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Credit card (automatic),89.7,6339.3,2.99
0235-KGSLC,Sí,Femenino,No,No,46.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Mailed check,84.25,3847.6,2.81
0236-HFWSV,Sí,Femenino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),92.65,6733.0,3.09
0237-YFUTL,No,Masculino,Sí,Sí,1.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.7,19.7,0.66
0238-WHBIQ,No,Femenino,No,No,1.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,50.1,50.1,1.67
0239-OXEXL,No,Femenino,No,No,67.0,Sí,Sí,Sí,Sí,Sí,No,Two year,Sí,Bank transfer (automatic),92.45,6140.85,3.08
0244-LGNFY,No,Femenino,Sí,Sí,48.0,Sí,Sí,No,Sí,Sí,Sí,Two year,No,Electronic check,79.65,3870.3,2.66
0247-SLUJI,No,Femenino,No,No,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Electronic check,109.9,7624.2,3.66
0248-IPDFW,No,Masculino,Sí,No,52.0,Sí,Sí,Sí,Sí,No,Sí,One year,Sí,Credit card (automatic),81.4,4354.45,2.71
0248-PGHBZ,No,Femenino,Sí,Sí,67.0,Sí,Sí,No,No,No,No,One year,No,Credit card (automatic),50.55,3431.75,1.68
0253-ZTEOB,No,Femenino,Sí,Sí,28.0,Sí,Sí,No,No,No,Sí,Month-to-month,Sí,Electronic check,81.05,2227.1,2.7
0254-FNMCI,No,Femenino,Sí,Sí,32.0,Sí,Sí,No,No,No,No,Month-to-month,No,Bank transfer (automatic),62.45,2045.55,2.08
0254-KCJGT,No,Femenino,Sí,No,27.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Bank transfer (automatic),75.2,1929.35,2.51
0254-WWRKD,No,Masculino,No,No,3.0,Sí,Sí,No,No,No,Sí,Month-to-month,No,Electronic check,90.4,268.45,3.01
0256-LTHVJ,Sí,Masculino,No,No,2.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,85.65,181.5,2.86
0257-KXZGU,No,Femenino,No,Sí,9.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Mailed check,72.9,651.4,2.43
0257-ZESQC,Sí,Masculino,Sí,Sí,50.0,Sí,Sí,Sí,Sí,Sí,No,Two year,Sí,Credit card (automatic),70.5,3486.65,2.35
0258-NOKBL,No,Femenino,Sí,Sí,71.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.1,1389.6,0.67
0259-GBZSH,Sí,Masculino,Sí,No,32.0,Sí,Sí,No,No,No,No,Month-to-month,Sí,Electronic check,74.9,2303.35,2.5
0260-ZDLGK,Sí,Femenino,Sí,Sí,16.0,Sí,Sí,Sí,No,Sí,Sí,Month-to-month,No,Bank transfer (automatic),100.7,1522.7,3.36
0263-FJTQO,No,Femenino,Sí,Sí,67.0,Sí,Sí,No,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),105.65,6717.9,3.52
0264-CNITK,No,Masculino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Credit card (automatic),114.3,8058.55,3.81
0265-EDXBD,Sí,Femenino,No,No,3.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.75,58.85,0.66
0265-PSUAE,No,Masculino,Sí,Sí,23.0,Sí,No,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,24.35,538.5,0.81
0266-CLZKZ,No,Masculino,Sí,Sí,72.0,Sí,Sí,Sí,Sí,No,No,Two year,No,Bank transfer (automatic),69.85,5102.35,2.33
0266-GMEAO,No,Masculino,Sí,Sí,7.0,No,Sí,Sí,No,Sí,Sí,Month-to-month,No,Mailed check,58.85,465.7,1.96
0268-QKIWO,Sí,Masculino,Sí,Sí,8.0,Sí,Sí,No,No,Sí,No,Month-to-month,Sí,Electronic check,54.4,475.1,1.81
0269-XFESX,No,Masculino,Sí,Sí,66.0,No,Sí,No,Sí,Sí,Sí,Two year,No,Bank transfer (automatic),50.55,3364.55,1.68
0270-THENM,No,Masculino,No,No,5.0,Sí,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,0.7
0274-JKUJR,No,Masculino,No,No,49.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Bank transfer (automatic),103.7,5036.3,3.46
0277-BKSQP,No,Femenino,Sí,Sí,12.0,No,Sí,No,Sí,No,No,Month-to-month,Sí,Mailed check,29.3,355.9,0.98
0277-ORXQS,No,Masculino,Sí,Sí,27.0,Sí,Sí,Sí,No,No,No,Month-to-month,Sí,Credit card (automatic),54.75,1510.3,1.82
0278-YXOOG,Sí,Femenino,No,No,35.0,Sí,Sí,Sí,No,No,No,Month-to-month,No,Electronic check,60.55,1982.6,2.02
0280-XJGEX,Sí,Femenino,Sí,Sí,54.0,Sí,Sí,No,Sí,Sí,Sí,Month-to-month,Sí,Electronic check,86.2,4524.05,2.87
0281-CNTZX,No,Masculino,No,No,1.0,Sí,Sí,No,No,Sí,Sí,Month-to-month,Sí,Electronic check,95.45,95.45,3.18
0282-NVSJS,No,Masculino,No,No,5.0,Sí,Sí,No,Sí,Sí,No,Month-to-month,Sí,Credit card (automatic),63.95,318.1,2.13
0285-INHLN,No,Masculino,No,No,19.0,Sí,Sí,No,Sí,No,Sí,One year,Sí,Bank transfer (automatic),65.35,1231.85,2.18
0289-IVARM,No,Masculino,Sí,Sí,52.0,No,Sí,No,Sí,Sí,No,Two year,No,Mailed check,50.2,2554.0,1.67
0292-WEGCH,No,Femenino,Sí,Sí,72.0,No,Sí,Sí,Sí,Sí,Sí,Two year,Sí,Bank transfer (automatic),63.8,4684.3,2.13
